,mall_id,shop_id,wifis_mean_inten
0,m_1021,s_136219,"{'b_29287977': -40.0, 'b_6203563': -59.0, 'b_6203385': -48.0, 'b_6203386': -43.0, 'b_7028663': -43.0, 'b_7028662': -49.0, 'b_52848838': -65.0, 'b_35899193': -44.0, 'b_5530036': -66.0, 'b_35899196': -51.0, 'b_35899194': -45.0, 'b_35899197': -52.0, 'b_6203562': -59.0, 'b_23452114': -62.0, 'b_38350227': -62.0}"
1,m_1021,s_1382380,"{'b_44154141': -63.0, 'b_38109171': -60.0, 'b_7028569': -56.0, 'b_54039347': -74.0, 'b_20464503': -64.0, 'b_6203399': -59.0, 'b_28043064': -72.0, 'b_7107053': -76.0, 'b_6203489': -61.0, 'b_6203488': -65.0, 'b_15413397': -78.0, 'b_6411471': -75.0, 'b_33558859': -75.0, 'b_20402787': -70.0, 'b_6203267': -56.0, 'b_6203266': -55.0, 'b_7028751': -57.0, 'b_6203400': -56.0, 'b_36897923': -61.0, 'b_7028672': -60.0, 'b_7028673': -53.0, 'b_57007899': -67.0}"
2,m_1021,s_1407220,"{'b_53048862': -47.0, 'b_7107047': -42.0, 'b_46345938': -60.0, 'b_33558760': -74.0, 'b_22384837': -55.0, 'b_6411465': -42.0, 'b_20402787': -67.0}"
3,m_1021,s_1440728,"{'b_6207720': -62.0, 'b_41312637': -80.0, 'b_24519420': -72.0, 'b_15115266': -56.0, 'b_20943141': -74.0, 'b_44212187': -62.0, 'b_37435719': -71.0, 'b_29576775': -69.0, 'b_6787665': -68.0, 'b_6207759': -48.0, 'b_41924796': -65.0, 'b_42964793': -77.0, 'b_7028833': -64.0, 'b_6411454': -79.0, 'b_7030068': -62.0, 'b_7030106': -44.0, 'b_7030105': -46.0, 'b_6206239': -60.0, 'b_14232921': -74.0, 'b_37842236': -40.0, 'b_49661514': -70.0, 'b_51819214': -68.0, 'b_7107045': -77.0, 'b_33558768': -74.0, 'b_6203579': -65.0, 'b_890302': -38.0, 'b_890301': -36.0, 'b_7029634': -60.0, 'b_6411463': -75.0, 'b_6207760': -44.0}"
4,m_1021,s_145305,"{'b_6411440': -71.0, 'b_7107047': -49.0, 'b_46345938': -67.0, 'b_7028757': -68.0, 'b_6203495': -68.0, 'b_57007899': -64.0, 'b_15413397': -75.0, 'b_7107024': -71.0}"
5,m_1021,s_1465447,"{'b_23452649': -70.0, 'b_23452624': -66.0, 'b_33558614': -63.0, 'b_7028823': -60.0, 'b_23452164': -69.0, 'b_23453021': -74.0, 'b_8267681': -77.0, 'b_6203569': -59.0, 'b_3457': -63.0, 'b_46279960': -60.0, 'b_49466117': -66.0, 'b_44401000': -68.0, 'b_23452888': -74.0, 'b_33558826': -66.0, 'b_33559603': -58.0}"
6,m_1021,s_148431,"{'b_6207717': -62.0, 'b_7030065': -63.0, 'b_7030066': -58.0, 'b_6064803': -60.0, 'b_6207718': -59.0, 'b_30525508': -71.0, 'b_6991755': -61.0, 'b_41312855': -79.0, 'b_1087760': -52.0, 'b_1087758': -43.0, 'b_1087759': -45.0, 'b_23452931': -57.0, 'b_44535279': -66.0}"
7,m_1021,s_1864863,"{'b_23452649': -62.0, 'b_21568170': -66.0, 'b_23452624': -69.0, 'b_7030040': -65.0, 'b_23453021': -79.0, 'b_23452164': -72.0, 'b_33558826': -66.0, 'b_46279960': -59.0, 'b_3457': -66.0, 'b_6228522': -53.0, 'b_49466117': -71.0, 'b_44401000': -68.0, 'b_23452888': -75.0, 'b_23452450': -77.0, 'b_6207691': -65.0, 'b_33558614': -74.0, 'b_33559603': -56.0}"
8,m_1021,s_1889577,"{'b_23452649': -73.0, 'b_46279960': -59.0, 'b_23452624': -69.0, 'b_7030040': -63.0, 'b_23453021': -75.0, 'b_23452164': -69.0, 'b_33558826': -66.0, 'b_8267681': -76.0, 'b_8267680': -65.0, 'b_3457': -63.0, 'b_9283413': -73.0, 'b_27959405': -60.0, 'b_49466117': -68.0, 'b_44401000': -67.0, 'b_23452888': -74.0, 'b_6207691': -62.0, 'b_33558614': -69.0, 'b_33559603': -55.0}"
9,m_1021,s_2095591,"{'b_54039347': -60.0, 'b_33558859': -65.0, 'b_45128089': -61.0, 'b_36897923': -53.0, 'b_38109171': -62.0}"
