mall_id,shop_id,wifi_infos
m_1021,s_136219,49
m_1021,s_1382380,85
m_1021,s_1407220,29
m_1021,s_1440728,122
m_1021,s_145305,4
m_1021,s_1465447,46
m_1021,s_148431,35
m_1021,s_1864863,51
m_1021,s_1889577,72
m_1021,s_2095591,22
m_1021,s_235089,729
m_1021,s_2406753,1
m_1021,s_2902419,71
m_1021,s_2921720,76
m_1021,s_2987152,50
m_1021,s_298739,44
m_1021,s_3023891,166
m_1021,s_3070193,1
m_1021,s_3121923,10
m_1021,s_321721,188
m_1021,s_3228278,164
m_1021,s_3230817,7
m_1021,s_3232050,3
m_1021,s_3365799,16
m_1021,s_3408776,113
m_1021,s_3423909,214
m_1021,s_3472761,1
m_1021,s_3485884,10
m_1021,s_3491500,1
m_1021,s_350865,68
m_1021,s_3537031,14
m_1021,s_3606217,204
m_1021,s_3622723,40
m_1021,s_3734889,8
m_1021,s_3757457,43
m_1021,s_3816514,158
m_1021,s_382315,85
m_1021,s_394841,57
m_1021,s_3963418,53
m_1021,s_396464,204
m_1021,s_3981477,19
m_1021,s_3990690,14
m_1021,s_3991152,32
m_1021,s_3991558,4
m_1021,s_4008552,18
m_1021,s_420522,12
m_1021,s_428773,1
m_1021,s_44235,31
m_1021,s_44259,10
m_1021,s_44919,93
m_1021,s_452569,32
m_1021,s_496570,48
m_1021,s_53835,15
m_1021,s_547665,33
m_1021,s_556486,1
m_1021,s_57565,79
m_1021,s_59973,50
m_1021,s_629930,140
m_1021,s_638541,170
m_1021,s_697497,45
m_1021,s_720551,2
m_1021,s_722185,72
m_1021,s_779910,39
m_1021,s_783000,138
m_1021,s_864831,307
m_1021,s_958323,143
m_1021,s_98728,62
m_1085,s_1016621,9
m_1085,s_10288,158
m_1085,s_117363,1
m_1085,s_1187707,2
m_1085,s_12258,528
m_1085,s_149996,32
m_1085,s_1509930,1
m_1085,s_174242,1
m_1085,s_1871093,1
m_1085,s_1937664,16
m_1085,s_213546,338
m_1085,s_242593,1
m_1085,s_25873,5
m_1085,s_2609489,1
m_1085,s_28586,50
m_1085,s_2885451,12
m_1085,s_2924939,13
m_1085,s_2967435,5
m_1085,s_2973950,38
m_1085,s_2995881,18
m_1085,s_3139722,3
m_1085,s_329080,1
m_1085,s_3295781,52
m_1085,s_3295811,19
m_1085,s_3297436,8
m_1085,s_3485330,15
m_1085,s_3545599,1
m_1085,s_3586491,33
m_1085,s_3620257,80
m_1085,s_3664782,100
m_1085,s_368882,2
m_1085,s_3691,35
m_1085,s_3752049,163
m_1085,s_3753192,39
m_1085,s_3754758,47
m_1085,s_3768076,36
m_1085,s_3869193,29
m_1085,s_402248,48
m_1085,s_410718,585
m_1085,s_413695,38
m_1085,s_415783,1
m_1085,s_433191,174
m_1085,s_525396,274
m_1085,s_610240,182
m_1085,s_769217,68
m_1085,s_78967,33
m_1085,s_80298,68
m_1085,s_815705,15
m_1085,s_81773,140
m_1085,s_817781,1
m_1085,s_859330,20
m_1085,s_93235,21
m_1085,s_93269,50
m_1089,s_1040968,48
m_1089,s_110661,17
m_1089,s_1258698,49
m_1089,s_1271815,10
m_1089,s_1273837,15
m_1089,s_1280325,32
m_1089,s_1308227,41
m_1089,s_1355338,1
m_1089,s_140376,159
m_1089,s_1533181,157
m_1089,s_169102,16
m_1089,s_173613,8
m_1089,s_1896961,19
m_1089,s_1941741,206
m_1089,s_1957139,5
m_1089,s_2031675,8
m_1089,s_2193628,5
m_1089,s_226789,68
m_1089,s_2351089,34
m_1089,s_240278,63
m_1089,s_2575981,5
m_1089,s_2868237,19
m_1089,s_291057,62
m_1089,s_2984602,1
m_1089,s_298613,8
m_1089,s_3035593,3
m_1089,s_3109846,1
m_1089,s_3141615,22
m_1089,s_3195229,5
m_1089,s_3197701,64
m_1089,s_3198497,65
m_1089,s_3232595,10
m_1089,s_3284142,28
m_1089,s_3292373,1
m_1089,s_34578,81
m_1089,s_3458941,90
m_1089,s_3459484,510
m_1089,s_3489040,14
m_1089,s_3559509,5
m_1089,s_3684784,138
m_1089,s_371324,10
m_1089,s_3822537,1
m_1089,s_3838408,60
m_1089,s_3849640,28
m_1089,s_38516,344
m_1089,s_3854128,23
m_1089,s_386132,89
m_1089,s_3915241,32
m_1089,s_394442,7
m_1089,s_3950121,3
m_1089,s_395183,8
m_1089,s_3982171,9
m_1089,s_399263,61
m_1089,s_4005484,14
m_1089,s_400714,64
m_1089,s_4018545,3
m_1089,s_4024995,8
m_1089,s_4059492,3
m_1089,s_407306,9
m_1089,s_425257,1
m_1089,s_434061,155
m_1089,s_436379,17
m_1089,s_436494,9
m_1089,s_444355,3
m_1089,s_453991,438
m_1089,s_455279,104
m_1089,s_45778,11
m_1089,s_462233,6
m_1089,s_475446,23
m_1089,s_479113,50
m_1089,s_484526,62
m_1089,s_493455,168
